Institute,Sector,Positive,Negative,Score,Final Score
ALL INN Kapperscollege,"Sectorunit voedsel, groen en gastvrijheid",0.0,1.0,0.5,Positive
AOC Aeres,"Sectorunit voedsel, groen en gastvrijheid",4.0,3.0,-0.125,Negative
AOC Oost,"Sectorunit voedsel, groen en gastvrijheid",4.0,5.0,-0.03125,Negative
ARD International BV (Guard Group),Sectorunit zakelijke dienstverlening en veiligheid,1.0,0.0,0.25,Negative
ASOP,"Sectorunit zorg, welzijn en sport",0.0,2.0,0.75,Positive
ROC Albeda College,Sectorunit creatieve industrie en ICT,0.0,1.0,0.5,Positive
ROC Albeda College,"Sectorunit mobiliteit, transport, logistiek, maritiem",0.0,2.0,0.75,Positive
ROC Albeda College,Sectorunit techniek en gebouwde omgeving,0.0,1.0,0.5,Positive
ROC Albeda College,Sectorunit zakelijke dienstverlening en veiligheid,0.0,2.0,0.75,Positive
ROC Albeda College,"Sectorunit zorg, welzijn en sport",0.0,1.0,0.5,Positive
ROC Alfa-college,Sectorunit creatieve industrie en ICT,0.0,2.0,0.75,Positive
ROC Alfa-college,Sectorunit handel,4.0,0.0,-0.5,Negative
ROC Alfa-college,Sectorunit techniek en gebouwde omgeving,0.0,1.0,0.5,Positive
ROC Alfa-college,"Sectorunit voedsel, groen en gastvrijheid",0.0,2.0,0.75,Positive
ROC Alfa-college,"Sectorunit zorg, welzijn en sport",0.0,5.0,0.96875,Positive
ROC Arcus College,Sectorunit creatieve industrie en ICT,0.0,1.0,0.5,Positive
ROC Arcus College,"Sectorunit mobiliteit, transport, logistiek, maritiem",0.0,1.0,0.5,Positive
ROC Arcus College,Sectorunit techniek en gebouwde omgeving,0.0,2.0,0.75,Positive
ROC Arcus College,Sectorunit zakelijke dienstverlening en veiligheid,0.0,3.0,0.875,Positive
ROC Arcus College,"Sectorunit zorg, welzijn en sport",0.0,1.0,0.5,Positive
ROC Aventus,Sectorunit handel,0.0,1.0,0.5,Positive
ROC Aventus,Sectorunit techniek en gebouwde omgeving,0.0,1.0,0.5,Positive
ROC Aventus,"Sectorunit voedsel, groen en gastvrijheid",0.0,2.0,0.75,Positive
ROC Aventus,"Sectorunit zorg, welzijn en sport",5.0,0.0,-0.75,Negative
BBO De Schalm,Sectorunit zakelijke dienstverlening en veiligheid,0.0,1.0,0.5,Positive
Bouman Opleidingen B.V.,Sectorunit zakelijke dienstverlening en veiligheid,0.0,1.0,0.5,Positive
Breederzorg opleidingen,"Sectorunit zorg, welzijn en sport",0.0,1.0,0.5,Positive
Business School Notenboom,Sectorunit handel,0.0,1.0,0.5,Positive
Business School Notenboom,Sectorunit zakelijke dienstverlening en veiligheid,0.0,1.0,0.5,Positive
CIBAP,Sectorunit creatieve industrie en ICT,0.0,1.0,0.5,Positive
