Institute,Sector,Positive,Negative,Score,Final Score
ALL INN Kapperscollege,"Voedsel, groen en gastvrijheid",0.0,1.0,0.5,Positive
AOC Aeres,"Voedsel, groen en gastvrijheid",4.0,3.0,-0.125,Negative
AOC Oost,"Voedsel, groen en gastvrijheid",4.0,5.0,-0.03125,Negative
ARD International BV (Guard Group),Zakelijke dienstverlening en veiligheid,1.0,0.0,0.25,Negative
ASOP,"Zorg, welzijn en sport",0.0,2.0,0.75,Positive
ROC Albeda College,Creatieve industrie en ICT,0.0,1.0,0.5,Positive
ROC Albeda College," Mobiliteit, transport, logistiek, maritiem",0.0,2.0,0.75,Positive
ROC Albeda College,Techniek en gebouwde omgeving,0.0,1.0,0.5,Positive
ROC Albeda College,Zakelijke dienstverlening en veiligheid,0.0,2.0,0.75,Positive
ROC Albeda College,"Zorg, welzijn en sport",0.0,1.0,0.5,Positive
ROC Alfa-college,Creatieve industrie en ICT,0.0,2.0,0.75,Positive
ROC Alfa-college,Handel,4.0,0.0,-0.5,Negative
ROC Alfa-college,Techniek en gebouwde omgeving,0.0,1.0,0.5,Positive
ROC Alfa-college,"Voedsel, groen en gastvrijheid",0.0,2.0,0.75,Positive
ROC Alfa-college,"Zorg, welzijn en sport",0.0,5.0,0.96875,Positive
ROC Arcus College,Creatieve industrie en ICT,0.0,1.0,0.5,Positive
ROC Arcus College," Mobiliteit, transport, logistiek, maritiem",0.0,1.0,0.5,Positive
ROC Arcus College,Techniek en gebouwde omgeving,0.0,2.0,0.75,Positive
ROC Arcus College,Zakelijke dienstverlening en veiligheid,0.0,3.0,0.875,Positive
ROC Arcus College,"Zorg, welzijn en sport",0.0,1.0,0.5,Positive
ROC Aventus,Handel,0.0,1.0,0.5,Positive
ROC Aventus,Techniek en gebouwde omgeving,0.0,1.0,0.5,Positive
ROC Aventus,"Voedsel, groen en gastvrijheid",0.0,2.0,0.75,Positive
ROC Aventus,"Zorg, welzijn en sport",5.0,0.0,-0.75,Negative
BBO De Schalm,Zakelijke dienstverlening en veiligheid,0.0,1.0,0.5,Positive
Bouman Opleidingen B.V.,Zakelijke dienstverlening en veiligheid,0.0,1.0,0.5,Positive
Breederzorg opleidingen,"Zorg, welzijn en sport",0.0,1.0,0.5,Positive
Business School Notenboom,Handel,0.0,1.0,0.5,Positive
Business School Notenboom,Zakelijke dienstverlening en veiligheid,0.0,1.0,0.5,Positive
CIBAP,Creatieve industrie en ICT,0.0,1.0,0.5,Positive
CIBAP,Techniek en gebouwde omgeving,0.0,1.0,0.5,Positive
Capabel Onderwijs Groep,"Zorg, welzijn en sport",0.0,4.0,0.9375,Positive
CITAVERDE College,Bovensectoraal,0.0,3.0,0.875,Positive
CITAVERDE College,"Voedsel, groen en gastvrijheid",0.0,7.0,0.9921875,Positive
Clusius College,"Voedsel, groen en gastvrijheid",2.0,6.0,0.484375,Negative
ROC Da Vinci College,Creatieve industrie en ICT,0.0,8.0,0.99609375,Positive
ROC Da Vinci College,Handel,0.0,2.0,0.75,Positive
